,Review,Date,Opinion,Year
0,"I’ve had to be on the phone a couple times with Valda. Both times I’ve had only a small duration on their hold time, and each representative has been both friendly, and very helpful. My experience with them has been positive so far. This can’t be said for other energy companies I’ve had the displeasure of communicating with. Thank you for standing out, Valda.",2023-01-19,POSITIVE,2023
1,"The lady I spoke with was lovely. She put me at ease, was able to explain and help me with my query and nothing was too much trouble for her to help me with. Her technical knowledge was good too.",2023-01-20,POSITIVE,2023
2,"Absolutely avoid this company at all costs! There should be a zero star option. Not one person on their call lines has the slightest clue what they're doing, get told I'm on a fixed rate contract where I only pay for what I use with a smart meter....... smart meter never gets fitted apparently due to my area, I get constant 'estimates' that keep putting me in the red and not one person knows what's going on with my account, all they keep phoning me for is more money, saying I'm on daily estimates etc. They are rip off merchants, rude, extortionate, and completely incompetent at their jobs. Imagine everyone was this bad at their job!!! Absolute joke of a company! AVOID AVOID AVOID",2023-01-18,NEGATIVE,2023
3,I switched through a guy called Craig from commercial electricity suppliers. I thought its a genuine guy even though I get thousand calls a day for energy switching for business for lower prices.I changed my energy from old supplier to Valda after Craig Said that it will be £210 a month fixed. After signing up I received first email from the company owing them £968 for no reason before even starting energy with Valda. They need £500 for third party charges. I m not responsible for your spam calls and charges. You deal with your third party yourself. I am not paying anything not used for. I am switching to different company.They said that they recorded the calls then where is your fixed price of £210 a month and where do £968 come from? Are you scram like lot of companies out their on public money?,2023-01-19,NEGATIVE,2023
4,"I spoke to a lady name Priyanka she was very helpful and a lovely women to talk to,She has excellent manner of talking 5 star for her all the way…",2023-01-20,POSITIVE,2023
5,I would like to take a minute to thank Priyanka for all the efforts and help and support in dealing with my problems with my account she took the time to go though everything so could understand it all so a big thanks to Priyanka again great friendly experience thanks again for your time and patience with me,2023-01-11,POSITIVE,2023
6,HorrendousBUSINESS BEWAREI TRANSFERRWD TO THIS COMPANY LAST MAY WORST DECISION I HAVE MADE IN A LONG  TIMELOTS OF ISSUES  WITH THE ICING ON THE CAKE BEING DISCONNWCTWD FOR A DEBT WHICH I HAD NI KNOWLWDGE IF FOR £130.95 WHICH APPARWNTLY WAS DUE ON 28TH DWCEMBER 2022I RECEIVED TEXT SAYING THAT I WAS BEING DISCONNECTEDI SPENT YET ANITHER HOUR TEYING TO GET THROUGH TO FIND OUT WHY AND TOLD IF MY DEBT A GRAND TOTAL OF 130.95I PAY MINWY EVERY FRUDAY I CAN NEVER GET AN ACCURATE BILL IR OUTSRANDING AMOYNT UNTIL I RING RHEM (AT KEAST AN HOUR EVERY TIME)  I SUBMUT READINGS EVETY FRIDAY BYT THE ONLIBE PORTAL US 2 TO 3 WEEKS BEHIND AND ONLAHIQS ME WHAT THEY THINK I WILL USEHOW US IT THAT A COMPANY LUJE THIS CAN DUSCONNECT ON A WHIMSo now the reply us to ring them (probably to spend another hour in the queue) to help sort outThis company obviously think we gave nothing better to do with our time,2023-01-17,NEGATIVE,2023
7,"Hi, honestly Valda company is so great and all staff are so friendly,I really appreciate it ☺️",2023-01-20,POSITIVE,2023
8,Over estimated bills always appear to be paying more due over estimated bills...,2023-01-21,NEGATIVE,2023
9,Your advisor - Priyanka was most helpful and clear in sorting out the misunderstanding with issues regarding our bill,2023-01-18,POSITIVE,2023
10,"Excellent service, Olivia has been really helpful and explained everything really well!",2023-01-17,POSITIVE,2023
11,Priyanka was very good in handling my complaint and managed the whole situation really very well.,2023-01-18,POSITIVE,2023
12,Very bad service rip people off don’t paying off government scheme very bad company wasting time,2023-01-16,NEGATIVE,2023
13,"We spoke to Tania this morning and she is the first person of many to actually resolve the issue we had! I have previously spoken to a few people that said they would look into our account and come back to us and then they didn’t bother, I’ve also spoken to others that weren’t interested in listening to my issue and just kept telling me how much I owed,  today, finally Tania resolved our issue and we are going to be reimbursed over £800 as we knew was owed to us. She was also very polite! Maybe Tania could train some of the other members of the team that can’t resolve customer’s problems.",2022-12-29,POSITIVE,2022
14,"My bill gone from £400 a month to £1,600 a month. My gas bill is £60 a day when contact them in September when the bill went upto that price they notice on the system and would arrange for it to be investigated. Received my invoice in October still extremely high so called again over an hour just waiting for someone to pick up the call. Busy in salon November and December. But however when closed in salon I kept an eye on the bill as I cleared it off and didn't expect it to increase to £418 whilst a salon closed. Check the gas meter and the dial turning when everything off. I've emailed them and message them to get someone out. The response is its fine it's working. When everything off it should not be turning very fast where you can't see the red numbers!! They threatened me that I can't leave my contract. I check online cab leave contract got to give 6weeks notice. The safety how they left a broken gas meter in my building since September and not investigated at all",2023-01-09,NEGATIVE,2023
15,"Advisors all lovely on phone but tried several times ringing to pay - option 3 and it cuts me off, happens all the time. Also when I log in online and request a new password - email never arrives. Bills always need amending, don’t understand why when I have a smart meter? And no response to emails when a question needs to be answered. Thanks",2022-12-20,NEGATIVE,2022
16,I realised that i needed to talk to someone about my account. I tried two telephone numbers and was put on hold on both of them with the calls never answered. I eventually agreed to a call back on one of them but the other one cut me off. When they eventually called me back the caller was very helpful and i sorted the problem out.,2022-12-19,NEGATIVE,2022
17,Priyanka was very helpful and answered my query exceptionally.,2023-01-17,POSITIVE,2023
18,"I had problems, a significant one in that I was being charged the wrong rate, but the person to whom I spoke, Jamie Lee, was knowledgeable and helpful.  She seems to have put things right.  That is the reason for 5 stars.  Getting the rate wrong would pitch my view towards 2 stars.  So would the fact that you are not able to get readings from the smart meter installed 7 Nov and have not followed up on the initial email warning me of that.  So, in summary, a pretty mixed bag but Jamie Lee and in a previous call on a different topic, Nicole or Nicola, are your real assets",2022-12-21,NEGATIVE,2022
19,"If you hear Valda - run fast and far as you can. It has been for me the worst nightmare ever!!!!!!!!!!!!They just took money of me, disgusting....Valda supposed to get my credit money back, yet it didn't happened....They just get money from you...(more than you suppose to pay). That's Valda policy!!! They don't care about the customers!!All they care to rip you off!!!!",2022-12-16,NEGATIVE,2022
20,"We are going to contact the ombudsman. The old tenant had contract with them and wanted to move, but they forced them to get us involved by asking us write a letter as a proof that the old tenant moved since when so that they could let them free etc. then they used that letter to trap us into their contact. This not make sense at all, as we haven’t agreed and sign any contract with them. They kept sending us bills, and asked us to pay , wth?  They use our metter from the previous tenant without our permission and then based that to billing us. Such a disgusting company. Luckily, They do not have any our personal informations, or banking details etc,We are not contacting you by any chance . We will contact the ombudsman directly.",2022-12-27,NEGATIVE,2022
21,"Since I have been with my them it’s been nothing but nightmares not good customer service management’s are rude, it takes forever for them to respond to your concern and they will sometime take triple the amount money from your account because of wrong estimates.To make a complaint you have to wait for someone to call you in order to do so and can take up to 2 weeks to do so by chasing them up. Would not recommend them to no one. Check they reviews most are negative and that is what should have done before signing.",2022-04-17,NEGATIVE,2022
22,"The Date I signed the contract with them the wholesale price for electricity (as I have only now found out) was just 35ppkwh and yet they (and all the other electric companies) on the day were quoting 72+ppkwh. So now I'm stuck paying 72.24-21.1(government discount) =51.14ppkwh and the government scheme ending in March will see 72ppwkh , 360% hike from what I was paying :( Mercenary b******** !",2022-12-12,NEGATIVE,2022
23,"What a tinpot of a company, first of all the app is a load of Bo**ocksyou can’t even log into it, they send you a threatening txt message saying we’re disconnecting you now, when your like 2p over your balance, I’m on a pay as you go meter because they take money out of your account without asking, to be followed up with a phone call asking you to pass security, i ask them do I need to top up my account, im sorry but you need to go through security just say yes or no,it’s not the secret service. There all a set of southern nonces who don’t have no customer care what so ever, I’d sooner be bummed by jimmy saville than work for them, they need shut shop absolute shithouse of a company.",2022-12-23,NEGATIVE,2022
